Hon Stuart Robert: Member for Fadden, Queensland
Ms Michelle Rowland: Member for Greenway, New South Wales
Ms Joanne Ryan: Member for Lalor, Victoria
Ms Rebekha Sharkie: Member for Mayo, South Australia
Mr Dave Sharma: Member for Wentworth, New South Wales
Hon Bill Shorten: Member for Maribyrnong, Victoria
Mr Julian Simmonds: Member for Ryan, Queensland
Mr David Smith: Member for Bean, Australian Capital Territory
Ms Anne Stanley: Member for Werriwa, New South Wales
Ms Zali Steggall OAM: Member for Warringah, New South Wales
Mr James Stevens: Member for Sturt, South Australia
Hon Michael Sukkar: Member for Deakin, Victoria
Ms Meryl Swanson: Member for Paterson, New South Wales
Hon Angus Taylor: Member for Hume, New South Wales
Hon Dan Tehan: Member for Wannon, Victoria
Ms Susan Templeman: Member for Macquarie, New South Wales
Hon Matt Thistlethwaite: Member for Kingsford Smith, New South Wales
Mr Phillip Thompson OAM: Member for Herbert, Queensland
Ms Kate Thwaites: Member for Jagajaga, Victoria
Hon Alan Tudge: Member for Aston, Victoria
Ms Maria Vamvakinou: Member for Calwell, Victoria
Mr Bert van Manen: Member for Forde, Queensland
Mr Ross Vasta: Member for Bonner, Queensland
Hon Andrew Wallace: Member for Fisher, Queensland
Mr Tim Watts: Member for Gellibrand, Victoria
Dr Anne Webster: Member for Mallee, Victoria
Ms Anika Wells: Member for Lilley, Queensland
Mrs Lucy Wicks: Member for Robertson, New South Wales
Mr Andrew Wilkie: Member for Clark, Tasmania
Mr Josh Wilson: Member for Fremantle, Western Australia
Mr Rick Wilson: Member for O'Connor, Western Australia
Hon Tim Wilson: Member for Goldstein, Victoria
Hon Jason Wood: Member for La Trobe, Victoria
Hon Ken Wyatt AM: Member for Hasluck, Western Australia
Mr Terry Young: Member for Longman, Queensland
Mr Tony Zappia: Member for Makin, South Australia
Mr Trent Zimmerman: Member for North Sydney, New South Wales
