COMP9417	F11A	TUT	3	25	Fri 11-12	Quad G045
COMP6771	H14A	TUT	53	64	Thu 14-15	ColomboThC
COMP9044	W13C	LAB	10	30	Wed 14-16	Online
COMP1010	M15A	LAB	0	18	Mon 16-18	Online
COMP9417	W18A	TUT	0	25	Wed 18-19	Quad G044
COMP1911	F11A	LAB	20	25	Fri 12-14	BrassME305
COMP9417	F12A	TUT	7	25	Fri 12-13	Quad G045
COMP9044	W13A	LAB	2	30	Wed 14-16	BrassME305
COMP9319	H17A	TUT	0	30	Thu 17-18	Online
COMP6771	T18A	TUT	25	64	Tue 18-19	CLB 6
COMP1511	H13A	LAB	24	24	Thu 14-16	KoraME307
COMP9044	T17A	TUT	10	30	Tue 17-18	Quad G032
COMP1511	H11B	TUT	25	25	Thu 11-12	BUS 207
DPBS1180	H13A	TUT	20	22	Thu 13:30-15	Online
DPBS1150	T14A	TUT	19	20	Tue 14:30-16	Block 122
COMP6447	W18A	LAB	1	10	Wed 18-20	Gold G03
COMP9044	W15B	TUT	2	30	Wed 15-16	Quad G044
COMP6452	W15A	TUT	28	50	Wed 15-17	Online
COMP2511	T11B	LAB	25	25	Tue 12-14	FluteME303
COMP9331	F11A	LAB	2	25	Fri 11-13	Oboe ME304
COMP2521	T11A	TUT	23	23	Tue 11-12	BUS 114
COMP3900	M14A	LAB	18	20	Mon 14-16	Online
COMP1911	M11A	TUT	0	25	Mon 11-12	Online
COMP1531	F09A	TUT	23	24	Fri 09-10	BUS 107
COMP9417	H18A	TUT	6	25	Thu 18-19	Online
COMP3511	W16A	LAB	19	19	Wed 16-18	Online
COMP9319	W20A	TUT	0	30	Wed 20-21	Online
COMP3331	W14A	LAB	16	25	Wed 14-16	Oboe ME304
COMP9044	M15A	TUT	5	30	Mon 15-16	Quad G032
COMP2041	M17A	TUT	18	30	Mon 17-18	Quad G032
DPGE1001	M10A	TUT	25	25	Wed 10-12	Online
COMP1911	M09A	TUT	0	25	Mon 09-10	Online
DPST1052	H11A	TUT	13	18	Thu 11-12	Online
COMP3900	H18A	LAB	20	20	Thu 18-20	Online
COMP9044	T11B	TUT	0	30	Tue 11-12	Quad G032
COMP1511	H11B	LAB	25	25	Thu 12-14	SitarME306
COMP2521	M11B	LAB	23	23	Mon 12-14	SitarME306
COMP1511	M09A	LAB	21	25	Mon 10-12	SitarME306
DPBS1100	W14A	TUT	14	20	Thu 14-15:30	Online
COMP9313	W12A	LAB	21	30	Wed 12-14	Online
COMP1511	M13A	LAB	25	25	Mon 14-16	SitarME306
COMP2041	F09A	LAB	28	30	Fri 10-12	Online
COMP9044	F13B	TUT	4	30	Fri 13-14	Quad G032
COMP1511	T17A	LAB	27	27	Tue 18-20	Online
COMP9044	T09B	TUT	3	30	Tue 09-10	Quad 1046
DPGE1002	W13B	TUT	21	22	Wed 13-15	Online
COMP9312	W17A	TUT	16	24	Wed 17:30-19	Online
COMP9044	T13B	LAB	1	30	Tue 14-16	BrassME305
COMP1911	M13A	LAB	0	25	Mon 14-16	BrassME305
DPST1031	T16A	TUT	15	18	Fri 13-14:30	Block 122
DPBS1150	T13A	TUT	6	18	Tue 13:30-15	Block 107
COMP2041	W15B	TUT	27	30	Wed 15-16	Quad G044
COMP9311	F10A	TLB	0	20	Fri 10-12	ClavierPhU
COMP9044	T13B	TUT	1	30	Tue 13-14	Webst 256
COMP9319	W15A	TUT	0	30	Wed 15-16	Online
DPST1021	T16B	TUT	23	25	Fri 13-14	Online
COMP1911	H13A	TUT	25	25	Thu 13-14	Webst 250
COMP6771	H17A	TUT	34	64	Thu 17-18	Online
COMP9044	W13A	TUT	2	30	Wed 13-14	Quad G032
DPST1021	T11A	TUT	10	18	Thu 15-16	Block 116
COMP1531	M15B	TUT	24	24	Mon 15-16	Online
COMP9331	T18B	LAB	9	25	Tue 18-20	Online
COMP9417	H15A	TUT	20	25	Thu 15-16	Online
COMP1511	T15A	TUT	24	24	Tue 15-16	Gold G09
DPST1014	W10A	TUT	10	18	Thu 15-16:30	Block 113
DPGE1003	T17A	TUT	10	25	Tue 17-18	Online
COMP6447	W16A	LAB	0	10	Wed 16-18	Online
COMP2511	M11A	LAB	24	25	Mon 12-14	FluteME303
COMP6447	T18B	LAB	0	20	Tue 18-20	Quad G042
COMP1511	H09B	LAB	25	25	Thu 10-12	SitarME306
COMP3331	W18B	LAB	18	25	Wed 18-20	Online
COMP9417	F16A	TUT	13	25	Fri 16-17	Online
COMP6771	H16A	TUT	46	64	Thu 16-17	Online
COMP6447	T18B	LAB	0	10	Tue 18-20	Quad G042
COMP2041	T13C	LAB	16	30	Tue 14-16	Online
COMP9727	W12A	TUT	10	24	Wed 12-13	Gold G07
DPST1032	W13A	LAB	17	36	Wed 13-16	ChemSci162
COMP6443	H16A	TUT	13	20	Thu 16-18	CybSK17G11
COMP9044	W17A	TUT	1	30	Wed 17-18	Quad G032
ENGG1811	F09A	LAB	25	24	Fri 09-11	FluteME303
COMP9511	T18A	LAB	21	21	Tue 18-20	Online
COMP1511	H13B	LAB	25	25	Thu 14-16	SitarME306
COMP2041	W17A	TUT	28	30	Wed 17-18	Quad G032
COMP3331	H16B	LAB	15	25	Thu 16-18	FluteME303
DPST1061	H12B	LAB	0	12	Thu 12-13	Online
COMP9313	H11A	LAB	9	30	Thu 11-13	Webst 256
COMP9044	T13C	LAB	14	30	Tue 14-16	Online
DPBS1120	W10A	TUT	20	20	Wed 10-13	Block 114
DPBS1110	H10A	TUT	9	18	Thu 10-11:30	Block 118
COMP3153	W17A	LAB	0	15	Wed 18-20	ClavierPhU
COMP1521	T12B	LAB	24	24	Tue 13-15	TablaK17G7
COMP9311	F12A	TLB	20	20	Fri 12-14	Online
COMP9044	F13B	LAB	4	30	Fri 14-16	StringsME3
COMP1531	M15B	LAB	24	24	Mon 16-18	Online
COMP1911	W09A	TUT	23	25	Wed 09-10	Quad G027
ENGG1811	F11A	LAB	26	26	Fri 11-13	Online
COMP2511	W18A	TUT	23	25	Wed 17-18	Ainswth201
COMP2041	F09A	TUT	28	30	Fri 09-10	Online
COMP3153	H17A	LAB	0	15	Thu 18-20	ClavierPhU
DPBS1110	W13A	TUT	21	22	Thu 12:30-14	Online
COMP9900	W18Q	LAB	20	20	Wed 18-20	Online
DPST1092	W13B	TUT	18	22	Thu 14-15	Online
COMP1531	T09A	TUT	24	24	Tue 09-10	Quad 1043
COMP9727	W13A	TUT	4	24	Wed 13-14	Online
COMP9414	W16A	TUT	25	25	Wed 16-17	Online
COMP2041	W11B	LAB	26	30	Wed 12-14	StringsME3
COMP1010	M13A	LAB	0	18	Mon 14-16	Online
COMP4336	T14A	LAB	7	20	Tue 14-16	LyreK17G12
COMP9417	H17A	TUT	11	25	Thu 17-18	Online
COMP2511	T11B	TUT	25	25	Tue 11-12	OMB151
COMP9417	W16A	TUT	8	25	Wed 16-17	Quad 1045
COMP2041	T13A	LAB	25	30	Tue 14-16	StringsME3
COMP2521	T09A	LAB	21	23	Tue 10-12	KoraME307
COMP1511	H09A	TUT	24	24	Thu 09-10	BUS 107
COMP6447	W14A	LAB	18	20	Wed 14-16	Gold G07
COMP9414	W12A	TUT	24	24	Wed 12-13	Gold G05
COMP1521	T12B	TUT	24	24	Tue 12-13	Quad G034
DPBS1100	W14A	TUT	14	20	Wed 14-15:30	Online
COMP9044	W11B	LAB	4	30	Wed 12-14	StringsME3
COMP6771	W17A	TUT	7	64	Wed 17-18	ColomboThB
COMP9417	H18A	TUT	18	25	Thu 18-19	Online
DPST1013	W14A	TUT	8	18	Fri 14:30-16	Block 116
COMP1511	W17A	TUT	24	24	Wed 17-18	Quad G054
COMP1511	F11B	LAB	25	25	Fri 12-14	SitarME306
COMP9319	H19A	TUT	0	30	Thu 19-20	Online
COMP1911	W09A	LAB	23	25	Wed 10-12	BrassME305
COMP1521	M17A	LAB	24	24	Mon 18-20	Online
COMP9417	W12A	TUT	2	25	Wed 12-13	Quad G044
DPST1014	M16A	TUT	16	21	Mon 16-17:30	Online
ENGG1811	F14B	LAB	26	26	Fri 14-16	TablaK17G7
COMP2041	F15B	LAB	23	30	Fri 16-18	Online
COMP9319	W19A	TUT	0	30	Wed 19-20	Online
COMP9414	T18A	TUT	0	24	Tue 18-19	Online
COMP2041	W11A	LAB	30	30	Wed 12-14	BrassME305
COMP1511	H13C	LAB	27	27	Thu 14-16	Online
COMP6443	F12A	TUT	0	14	Fri 12-14	CybSK17G11
COMP9319	H14A	TUT	10	30	Thu 14-15	Online
COMP3331	W10A	LAB	16	25	Wed 10-12	Oboe ME304
COMP9417	H16A	TUT	6	25	Thu 16-17	Quad G047
COMP1531	W17B	TUT	24	24	Wed 17-18	Quad G045
DPBS1190	H13A	TUT	21	22	Fri 11:30-13	Online
COMP2521	F16B	LAB	22	23	Fri 17-19	Online
DPST1013	W15B	TUT	12	18	Wed 15:30-17	Online
COMP9417	F10A	TUT	0	25	Fri 10-11	Quad G045
COMP1511	T15A	LAB	24	24	Tue 16-18	KoraME307
COMP2041	M15A	TUT	25	30	Mon 15-16	Quad G032
COMP9312	W11A	TUT	13	20	Wed 11:30-13	Quad G045
COMP9319	W17A	TUT	0	30	Wed 17-18	Online
COMP9311	W16A	TLB	16	20	Wed 16-18	ClavierPhU
COMP1521	M09A	TUT	24	24	Mon 09-10	Online
COMP1531	H15A	LAB	24	24	Thu 16-18	BongoK17G7
COMP1521	M17B	LAB	21	24	Mon 18-20	TablaK17G7
COMP2521	M13B	LAB	23	23	Mon 14-16	TablaK17G7
COMP9044	F09A	LAB	2	30	Fri 10-12	Online
DPST1021	H11A	TUT	15	18	Thu 11-12	Block 115
COMP9417	W17A	TUT	11	25	Wed 17-18	Quad G044
COMP1531	M15A	TUT	24	24	Mon 15-16	Quad G034
COMP9417	W10A	TUT	0	25	Wed 10-11	Quad G044
COMP9417	F16A	TUT	12	25	Fri 16-17	Online
DPBS1170	T10A	TUT	20	22	Thu 15:30-17	Online
COMP6443	H14A	TUT	0	14	Thu 14-16	CybSK17G11
DPGE1001	M16E	TUT	12	18	Thu 14-16	Online
COMP9417	H10A	TUT	17	25	Thu 10-11	Quad G031
DPST1072	T13A	TUT	15	18	Thu 14-15:30	Block 114
DPST1092	W13A	TUT	18	22	Wed 13-14	Online
COMP9727	W12A	TUT	6	24	Wed 12-13	Gold G07
COMP9313	W16A	LAB	13	30	Wed 16-18	Online
COMP1511	H17A	TUT	25	25	Thu 17-18	Gold G07
COMP1010	M13B	LAB	0	18	Mon 14-16	Online
COMP9331	W14A	LAB	9	25	Wed 14-16	Oboe ME304
DPST1061	H12A	LAB	8	10	Thu 12-13	DemoMSE
DPGE1001	M16B	TUT	20	25	Tue 16-18	Online
COMP9313	T14A	LAB	21	30	Tue 14-16	Webst 256
COMP3331	W16A	LAB	21	25	Wed 16-18	Oboe ME304
COMP1511	H17A	LAB	25	25	Thu 18-20	SitarME306
COMP9336	W16A	LAB	1	20	Wed 16-18	LyreK17G12
COMP1511	F09A	TUT	23	24	Fri 09-10	Webst 252
COMP1511	W11B	LAB	25	25	Wed 12-14	SitarME306
DPBS1190	T10A	TUT	14	19	Tue 10-11:30	Block 124
DPBS1100	W12A	TUT	8	18	Thu 12-13:30	Block 105
COMP9414	H14A	TUT	25	25	Thu 14-15	Online
COMP1511	T15B	LAB	25	25	Tue 16-18	SitarME306
ENGG1811	H16A	LAB	23	26	Thu 16-18	BrassME305
DPBS1100	T12A	TUT	5	18	Fri 15-16:30	Block 105
DPST1013	W15A	TUT	21	22	Fri 17-18:30	Online
COMP1531	W17B	LAB	24	24	Wed 18-20	SitarME306
COMP2521	T18A	LAB	21	23	Tue 19-21	FluteME303
COMP1511	F11B	TUT	25	25	Fri 11-12	Webst 252
COMP1911	H09A	TUT	15	25	Thu 09-10	Quad 1001
COMP9311	H10A	TLB	19	20	Thu 10-12	ClavierPhU
COMP1511	T17B	LAB	24	24	Tue 18-20	KoraME307
DPBS1170	W13A	TUT	20	22	Fri 10-11:30	Online
DPST1022	W15A	TUT	22	22	Fri 17-18	Online
DPBS1150	T14A	TUT	19	20	Thu 10-11:30	Block 122
COMP9311	W16B	TLB	19	20	Wed 16-18	Online
COMP1511	W17B	LAB	26	27	Wed 18-20	Online
COMP3511	H16A	LAB	17	19	Thu 16-18	CHIK17G13
COMP2041	T13A	TUT	25	30	Tue 13-14	Quad G032
DPST1052	M10A	LAB	13	18	Mon 10-13	TchLab 12
COMP6443	H18A	TUT	20	20	Thu 18-20	Online
COMP1531	W12B	TUT	22	24	Wed 12-13	BUS 215
COMP9414	W17A	TUT	25	25	Wed 17-18	Online
COMP1010	F14A	LAB	0	18	Fri 15-17	Online
ENGG1811	F16B	LAB	0	24	Fri 16-18	SitarME306
COMP4336	M18A	LAB	0	20	Mon 18-20	Online
DPBS1170	M10A	TUT	17	22	Wed 13-14:30	Online
COMP9044	T09B	LAB	3	30	Tue 10-12	StringsME3
COMP2041	T11A	LAB	30	30	Tue 12-14	BrassME305
COMP9331	H12A	LAB	4	25	Thu 12-14	Oboe ME304
COMP9312	T18A	TUT	0	20	Tue 18:30-20	Quad 1049
COMP2521	H09B	LAB	23	23	Thu 10-12	Oboe ME304
COMP1010	W15B	TUT	0	18	Wed 15-16	Online
COMP9417	W11A	TUT	4	25	Wed 11-12	Quad G044
COMP9319	H16A	TUT	10	30	Thu 16-17	Online
COMP1521	T16A	LAB	24	24	Tue 17-19	BongoK17G7
DPST1072	W10A	TUT	3	18	Fri 10-11:30	Block 114
COMP1521	H15B	LAB	24	24	Thu 16-18	Online
COMP2521	M17B	TUT	23	23	Mon 17-18	Online
COMP1511	F09B	LAB	25	25	Fri 10-12	SitarME306
DPGE1003	T17A	TUT	10	25	Tue 17-18	Online
COMP3511	H14A	LAB	17	19	Thu 14-16	CHIK17G13
DPGE1001	T10A	TUT	6	18	Thu 10-12	Block 106
COMP9044	T11B	LAB	0	30	Tue 12-14	StringsME3
COMP1531	H13B	LAB	24	24	Thu 14-16	TablaK17G7
COMP9313	T14B	LAB	7	30	Tue 14-16	Online
COMP9313	T16B	LAB	20	30	Tue 16-18	Webst 256
DPGE1001	M16E	TUT	12	18	Wed 13-15	Online
COMP6443	H14A	TUT	19	20	Thu 14-16	CybSK17G11
COMP1521	H09B	LAB	23	24	Thu 10-12	TablaK17G7
COMP9331	W12A	LAB	5	25	Wed 12-14	Oboe ME304
COMP2511	T13B	LAB	25	25	Tue 14-16	FluteME303
ENGG1811	H14A	LAB	24	24	Thu 14-16	FluteME303
COMP3331	W12A	LAB	18	25	Wed 12-14	Oboe ME304
COMP9417	H14A	TUT	13	25	Thu 14-15	Quad 1048
DPGE1001	M10A	TUT	25	25	Thu 12-14	Online
DPGE1001	T10B	TUT	9	18	Tue 10-12	Online
COMP9417	F14A	TUT	0	25	Fri 14-15	Quad G045
COMP2521	W17A	LAB	24	24	Wed 18-20	Online
COMP9312	W14A	TUT	0	20	Wed 14-15:30	Law 202
COMP1511	F11A	TUT	24	24	Fri 11-12	BUS 219
COMP2511	W15A	LAB	21	25	Wed 16-18	FluteME303
COMP9044	H17A	TUT	16	30	Thu 17-18	Online
DPGE1001	M10A	TUT	25	25	Tue 10-12	Online
DPST1032	H16A	TUT	10	18	Fri 15-16:30	Online
ENGG1811	H18B	LAB	26	26	Thu 18-20	Online
COMP2521	W15C	LAB	23	23	Wed 16-18	Online
COMP1521	H09A	TUT	24	24	Thu 09-10	Quad 1046
COMP2521	W13B	LAB	23	23	Wed 14-16	SitarME306
DPBS1150	M13A	TUT	8	18	Mon 13-14:30	Block 107
COMP2041	T13B	TUT	29	30	Tue 13-14	Webst 256
DPST1051	M12A	TUT	12	18	Mon 12-13	Block 116
COMP6843	H10A	TUT	15	20	Thu 10-12	CybSK17G11
COMP2521	M13A	TUT	23	23	Mon 13-14	Quad G054
COMP9331	T18A	LAB	10	25	Tue 18-20	Oboe ME304
COMP9414	W18A	TUT	25	25	Wed 18-19	Online
DPGE1002	F15B	TUT	21	22	Fri 15-17	Online
DPBS1110	H10B	TUT	21	22	Fri 10-11:30	Online
COMP3331	H16A	LAB	8	25	Thu 16-18	Online
DPST1013	T11A	TUT	24	25	Tue 11-12:30	Online
COMP1531	H17B	LAB	24	24	Thu 18-20	TablaK17G7
DPST1024	W16A	TUT	2	18	Wed 16-17	Block 115
COMP1511	H09B	TUT	25	25	Thu 09-10	BUS 118
