poll|position|artist|track
2015|18|Macklemore & Ryan Lewis|DOWNTOWN {Ft. Eric Nally/Melle Mel/Kool Moe Dee/Grandmaster Caz}
2015|19|The Weeknd|The Hills
2015|20|Foals|Mountain At My Gates
2014|1|Chet Faker|Talk Is Cheap
2014|2|Peking Duk|High {Ft. Nicole Millar}
2014|3|Hilltop Hoods|Cosby Sweater
2014|4|Milky Chance|Stolen Dance
2014|5|Peking Duk|Take Me Over {Ft. SAFIA}
2014|6|Mark Ronson|Uptown Funk {Ft. Bruno Mars}
2014|7|Chet Faker|Gold
2014|8|Chet Faker|1998
2014|9|Sia|Chandelier
2014|10|Asgeir|King And Cross
2014|11|ZHU|Faded
2014|12|Glass Animals|Gooey
2014|13|Vance Joy|Mess Is Mine
2014|14|alt-J|Every Other Freckle
2014|15|The Kite String Tangle|Arcadia
2014|16|alt-J|Left Hand Free
2014|17|Illy|Tightrope {Ft. Scarlett Stevens}
2014|18|Lorde|Yellow Flicker Beat
2014|19|Ball Park Music|She Only Loves Me When I'm There
2014|20|Sticky Fingers|Gold Snafu
Twenty Years '13|1|Oasis|Wonderwall
Twenty Years '13|2|The White Stripes|Seven Nation Army
Twenty Years '13|3|Jeff Buckley|Last Goodbye
Twenty Years '13|4|Hilltop Hoods|The Nosebleed Section
Twenty Years '13|5|The Verve|Bitter Sweet Symphony
Twenty Years '13|6|Foo Fighters|Everlong
Twenty Years '13|7|The Killers|Mr. Brightside
Twenty Years '13|8|Powderfinger|These Days
Twenty Years '13|9|Gotye|Somebody That I Used to Know {ft. Kimbra}
Twenty Years '13|10|Powderfinger|My Happiness
Twenty Years '13|11|Queens of the Stone Age|No One Knows
Twenty Years '13|12|Gotye|Hearts a Mess
Twenty Years '13|13|Radiohead|Paranoid Android
Twenty Years '13|14|Mumford & Sons|Little Lion Man
Twenty Years '13|15|The Prodigy|Breathe
Twenty Years '13|16|Bon Iver|Skinny Love
Twenty Years '13|17|Silverchair|Tomorrow
Twenty Years '13|18|OutKast|Hey Ya!
Twenty Years '13|19|blink-182|Dammit
Twenty Years '13|20|The Living End|Prisoner of Society
2013|1|Vance Joy|Riptide
2013|2|Lorde|Royals
2013|3|Daft Punk|Get Lucky {Ft. Pharrell Williams & Nile Rodgers}
2013|4|Arctic Monkeys|Do I Wanna Know?
2013|5|Flume & Chet Faker|Drop The Game
2013|6|Arctic Monkeys|Why'd You Only Call Me When You're High?
2013|7|Lana Del Rey|Young And Beautiful
2013|8|Matt Corby|Resolution
2013|9|The Preatures|Is This How You Feel?
2013|10|London Grammar|Strong
2013|11|HAIM|The Wire
2013|12|Lorde|Tennis Court
2013|13|James Blake|Retrograde
2013|14|Violent Soho|Covered In Chrome
2013|15|Lorde|Team
2013|16|Arcade Fire|Reflektor
2013|17|Daft Punk|Lose Yourself To Dance {Ft. Pharrell Williams}
2013|18|Arctic Monkeys|Arabella
2013|19|The Kite String Tangle|Given The Chance
2013|20|Kanye West|Black Skinhead
2012|1|Macklemore & Ryan Lewis|Thrift Shop {ft. Wanz}
2012|2|Of Monsters And Men|Little Talks
2012|3|alt-J|Breezeblocks
2012|4|Flume|Holdin On
2012|5|Mumford & Sons|I Will Wait
2012|6|Major Lazer|Get Free {ft. Amber Coffman}
2012|7|Tame Impala|Elephant
2012|8|Frank Ocean|Lost
2012|9|Tame Impala|Feels Like We Only Go Backwards
2012|10|The Rubens|My Gun
2012|11|Calvin Harris|Sweet Nothing {ft. Florence Welch}
2012|12|Flume|Sleepless {ft. Jezzabell Doran}
